,company,number_reviews,search_city,star_rating,summary,title,website,how_paid,annual_salary,is_sponsored,time_since_posted,in_city,page
0,Cotiviti,30.0,"Atlanta, GA",3.35,This is a pioneering data scientist who will participate in expanding the new analytics backbone. Cotiviti is looking for an industry leading Data Scientist to...,Data Scientist,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AbexXlh6WlNaC12RNLKcRQH8fywLm61v9KQllly0vTVrm9U0Iy0AOsYwOq9YOpDX03iprvWHw_SY6xCXG90mwLvOd8fb5BdJ-fu_-2tfp_KoWry1hPm7FaVRyBGPoeYEaNltu7W5i0j-mo3JRbnfv9fjDKHocl-PPaA54t_nU0LuKHYhZrcpw0vHpj47kOqopU6QSmWmYXvVWHNR2CzxLoO9Bbb36lQrm9dkXEzjOFO0F1O8yVPXCq8Wcl22b_eNIa__1cVuYp1K_qe98wAuNTG3gLmeuB2aE7Fqu6Gf2luR5kT_R23Op04FelalPdvo3zVdIfajcqvDI7RmIOMQp4Agc3YAT_Tzhz5WVO5KPp8yXrbTSBwnW8W5Y1Baywe5ZiB7685I_AcrFG5l2N50twz3gceaTSh5P5RH3T_0QSdi7gyR3ungTSaiRr-xDjlbhPXvvcS1iInH8TeXo3X64_&p=1&sk=&fvj=0,,,1,more than 30 days ago,1,1
1,MobileDev Power,,"Atlanta, GA",,"Authoritative quantitative analysis skills, particularly in machine learning, multivariate statistical modeling, and data mining....",Data Scientist With Predictive Modeling,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADQeWqYYwuRDGK7FTA-YzU7Qag1HzehP-FB7aWzkBO6FRyVCTNkBclA9FrQyCAXLjn4u9IP3mepDeJnt-BtuBzfosurWUx8dMI4PS2dnzCGDjcb1rqHXIXHxiVvQw9rfF11WZQLdcQkIzgltmPYW2VSpeptqKlQFd-myvhXpnwsBuKpigI5qx1JZoLljXcQZaeCU-bseX3Gb_kmh_cGHBXlvclKzEw6aaFQ4dndrNfOkrV5OxKFWnhb_fOlzQNTxQBttBJJopIwAJefJijrKQXBcgZzB1GaGE40fDWPYVGPtVAC5tdnWXFQumo0kX8h0jq-m-nU1Bh6AAANXMlxN3M3ugo4UeZUSFYJksmWTvbiiI0GykzlsnC0hKZOIoCmE3R8m4yPcgAx6d4sNAe68-U4uAWb2WLQPv2yEfU_OJETV32j8w3Q_-LosbFT-kjsfJ5Wg5FzCL3Fw==&p=2&sk=&fvj=1,,,1,7-12 days ago,1,1
2,Predictive Science,,"Atlanta, GA",,This is a freelance data scientist position who will work with other senior data scientists to consult with executives and data scientists who are a part of the...,Data Scientist,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bcgobz-t7weSGYTjoRWMIqcV9t0akB45B3k8NFJVZb5kkFpxn8bhfjltbVDjvx0bn0noTLqpSBW77839Ubfh4eL2ZvByfFlPegJkfgxbap4qbKzQXknClXAKQmaD18uRE6WyuXyxO_e8fzaqQSa7Zpn8Jr1yFQDtObTPJBXLI6XTwEbrzAcGrbjl0uwxUgOs3LUSSvxe-nS1s40s38EGLQgLYWQofqP_lYeeyVtdUDrrPJTJpGfp7cFRFtI_9pnC27Aw1m_ZjCo0jNx_KBHrNx3CIU2NvWCRoWJuX_JD-GV-0D9pYILfNYJitQNSic3Kbc0WlhfLBHxGbWmo8Jtbi0lkfs6KdyiXQj4mL5u4rhBXgCO-DoAn7q_N1DszG4wT7E74K_F3vserP3JdIzBcV01VNW0Q3uZWY=&p=3&sk=&fvj=0,,,1,7-12 days ago,0,1
3,"Vision3 Solutions, Inc",,"Atlanta, GA",,Data Scientist- Big Data*. May write code to automate reports and templates and consolidate data into reports and knowledge. 12 Months Contract*....,Data Scientist- Big Data,"http://www.indeed.com/cmp/Vision3-Solutions,-Inc/jobs/Data-Scientist-1a8c086f5f6f1294?r=1&fccid=37d33d67f3fba52b",hourly,187200.0,0,in the last day,1,1
4,FraudScope,,"Atlanta, GA",,Experience with healthcare-related data and familiarity with current methods applied to healthcare data is preferred....,Data Scientist,http://www.indeed.com/cmp/FraudScope/jobs/Data-Scientist-d72c337465398caf?r=1&fccid=e87f46501099545c,,,0,1-6 days ago,1,1
5,AT&T,14560.0,"Atlanta, GA",3.7,"Perform data studies and data discovery around new data sources or new uses for existing data sources. Design and implement processes and layouts for complex,...",AT&T Professional Data Scientist Alpharetta GA,http://www.indeed.com/rc/clk?jk=d21cbd39fb6dd414&fccid=25b5166547bbf543,,,0,1-6 days ago,0,1
6,ICF,235.0,"Atlanta, GA",3.45,"The Scientific Data Analyst will analyze quantitative epidemiological, clinical, and/or surveillance data and provide output in the format requested....",Scientific Data Analyst,http://www.indeed.com/rc/clk?jk=4a4948fe135cb354&fccid=cc35f9c14f8799a9,,,0,1-6 days ago,1,1
7,Northrop Grumman,2159.0,"Atlanta, GA",4.25,"Responsible for working with CDC antimicrobial stewardship program, supporting a multidisciplinary team of epidemiologists, statisticians, health educators,...",Scientific Data Analyst,http://www.indeed.com/rc/clk?jk=a959ea9503eb0043&fccid=11619ce0d3c2c733,,,0,7-12 days ago,1,1
8,Infor,62.0,"Atlanta, GA",3.55,"Senior Data Scientist. Working closely with Predictix Project Team, as well as Client Project Team to ensure quality work is delivered and deadlines are met....",Sr. Data Scientist,http://www.indeed.com/rc/clk?jk=cf742a5180d45499&fccid=ddf188c30da34688,,,0,in the last day,1,1
9,IgnitionOne,8.0,"Atlanta, GA",3.5,"Have experience with predictive modelling / data mining / machine learning (e.g., MLlib, R)_. Our platform currently processes 2 trillions transactions per year...",Data Scientist,http://www.indeed.com/rc/clk?jk=ece5708bd668a5e5&fccid=bd2e17bd9d57178b,,,0,19-24 days ago,1,1
10,Ashton212,,"Atlanta, GA",,"Larger scope-of-work engagements provide our consultants the opportunity to work alongside other subject matter experts.Once you’re an Ashton212 Associate, you...",Quantitative Analyst | #769,http://www.indeed.com/cmp/Ashton212/jobs/Quantitative-Analyst-01ad090d112dbb83?r=1&fccid=f0461620810fcde2,,,0,1-6 days ago,1,1
11,Macy's,14439.0,"Atlanta, GA",3.6,"Uses analytical rigor and statistical methods, machine learning, programming, data modeling, simulation and advanced mathematics to analyze large amounts of...",Data Scientist,http://www.indeed.com/rc/clk?jk=8b1060b171ddf805&fccid=6df24d87c9f05a07,,,0,13-18 days ago,1,1
12,Centers for Disease Control and Prevention,66.0,"Atlanta, GA",4.5,"Whether we are protecting the American people from public health threats, researching emerging diseases, or mobilizing public health programs with our domestic...",Statistician (Health),http://www.indeed.com/rc/clk?jk=1ae9fbf052162ca0&fccid=3e901f592b439cea,yearly,101553.5,0,1-6 days ago,1,1
13,Home Depot,21066.0,"Atlanta, GA",3.65,3 years of experience in data mining and statistical analysis. Insights from data to solve business problems....,DATA SCIENTIST,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BOtxtSuljPipcOqTsdGhy_ryU9_Bpcutm1h1zAeyLmGnpluTyzXEqsxsrMKBlkufFESLwSdxJSAONzh1zkMDi4o-Ahekc18NAvrbyd8GeyF0DRrENb1LzCRVsYrK8Sg_PhO3N5J8mMNLOlN5pqFiwwAcGbn3xQWghvWcsoHY-vpPAE08TM-sFPj_uIlrKWNzIom2VsxisIvRkgdYfVuruHSVgl1nsDueGc1q4WX-s0qFAPU8gmlL7bAZgOGcISoUu4_I3aDGSxiM3Sm1qChnDo4X0K7kKTK8FOjFxGPZmBUsba0sFr2SrT2poL2G3qpdQo4-zuglylgEI_puGAbGXEnlRPEJOyaJHFP5OEr-cuA5M8G4SrDsn0HBKyL9XFwvLdHVkmnQwjY30Nnb9ZaH1PspAClz4SSNOWCEwycsKqrOK_6GInKCeigbjNwSgEZJeqSXbAsnteArstnq5BDD8wStYX_MZ9eUO2D9hCY690x6tNe6H-ddWbz35hF0e4x1g5yEnGrURb99jr-2s8x8CrByhY8blmzNh7OdndaBLjkgSMjgutMQEn6T2wsq7GXJlh2tgioEV_FVSJfZlFZUdVKH0c2-zSyNE17FddpXkVderiqS1hN7OVpyL8h9LMzVZxZXvR7HMIDHB28QaQJm0e2d9tGmXfFKLnmXIkRbrScVrt0MLGaE6xg1NIZWvUG4we02qX5J84XQUABGwOzxVvk9D36ZU_PFqReNetVl6p_W5_ozdC8O8rsLU5VhJwEz_lcCRQTu5dEM1K8-OJ3EmO9cB1fwxjXfY=&p=4&sk=&fvj=0,,,1,19-24 days ago,1,1
14,Cox Automotive,46.0,"Atlanta, GA",3.4,"Interprets problems and develops solutions to business problems using data analysis, data mining, optimization tools, and machine learning techniques and...",Data Scientist,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Aqmv_5JD5v6gg1ICRL12VY6BolF0XAUkQtat1DEGOKAas7v4hqpX3lzUM4h7L4VGsyuyDvf1POStkSJgHsuP2fB8YliLIijj53wvHBII5P9eQQwhBoT2Vrz0Dv0LOR9cmhA2uclIYN04PgnRXyk-qh-tWB4gjAzVFbOSQRY5YUTWftokh_PSrJGwP4Nj5EuUsCwlI08ro-lhJL20sbOc5uY_b-92Q1JkyKxND1xkSN4ebuzgdLO4uOIZodliVmF6ecOj3BWFKSGyKIs-3nBYZN3RJ0MGNz2Brv7KinRkX2zy5ysUJnluUGeC0sszv_cIWgNbMY_UAY157chd316RBiDqdM7JV_XULjPSDa0m769Wr9hIaZ4FIq7NSgj4cUpncwPDcyUGK9LxXsULQ07Ru1wCMaUx3w0yX4uUKKP5BD6d1ZkDBHZACCr6G8yM_wvwPqUy7iksoPfYJ5X4NpYboiZZ0VAkYPepI=&p=5&sk=&fvj=0,,,1,more than 30 days ago,1,1
33,Georgia Tech Research Institute,260.0,"Atlanta, GA",4.40000025,"In particular skillsets both in doing data science (statistical analysis and inference, machine learning, and graph analytics) as well as software engineering...",Data Analytics + Computer Science Researcher- INNC- ICL-1216,http://www.indeed.com/rc/clk?jk=155f59437c67789e&fccid=db25687464a9ecf6,,,0,1-6 days ago,1,3
34,Macy's,14439.0,"Atlanta, GA",3.6,"Uses analytical rigor and statistical methods, machine learning, programming, data modeling, simulation and advanced mathematics to analyze large amounts of...",Sr. Data Scientist,http://www.indeed.com/rc/clk?jk=121c294b8562e199&fccid=6df24d87c9f05a07,,,0,13-18 days ago,1,3
35,Lockheed Martin,3474.0,"Atlanta, GA",4.3,The candidate will perform and support the design and implementation of scientific modeling and simulation applications within the field of Computational...,Research Scientist,http://www.indeed.com/rc/clk?jk=55c87b4b530f39cf&fccid=aeb15e43a6800b9d,,,0,1-6 days ago,0,3
36,KPMG,1810.0,"Atlanta, GA",4.25,"Machine learning, data visualization, statistical modeling, data mining, or information retrieval. KPMG is currently seeking a Data Scientist, to join our...",Data Scientist,http://www.indeed.com/rc/clk?jk=53b7f855d4891e19&fccid=2dd390c3a48a7ed0,,,0,more than 30 days ago,1,3
37,Georgia Tech Research Institute,260.0,"Atlanta, GA",4.40000025,"Conduct research in novel machine and deep learning techniques. The position also involves working with cutting edge technologies, such as machine learning...",System Engineer Machine Learning CTISL 1215,http://www.indeed.com/rc/clk?jk=dff1dad21f6f7207&fccid=db25687464a9ecf6,,,0,1-6 days ago,1,3
38,Mckesson,1538.0,"Atlanta, GA",3.55,The position will support a cross-functional team and provide in-depth data insights for complex business problems that can be approached with advanced...,"Data Scientist, Analytics",http://www.indeed.com/rc/clk?jk=3e0204f79d9af761&fccid=a7c5036618407010,,,0,19-24 days ago,0,3
39,General Assembly,76.0,"Atlanta, GA",4.40000025,"You are eager to shape the skills, minds, and trajectories of the newest generation of data scientists. Data visualization techniques;...",Part Time Data Science Instructor,http://www.indeed.com/rc/clk?jk=02a228b532814158&fccid=a4cd0efa7775ecd2,,,0,13-18 days ago,1,3
40,Visionaire Partners,5.0,"Atlanta, GA",4.34999975,"Once defined, you will be responsible in translating business problems to the core data scientists to create and design data science solutions....",Data Scientist,http://www.indeed.com/rc/clk?jk=e5b2e89e33b0282b&fccid=65094ffc761eb987,,,0,1-6 days ago,1,3
41,"Eagle Medical Services, LLC",,"Atlanta, GA",,"Comfortable in collaborating with data scientists, epidemiologists, and professionals across the board. Assist with visualization of data....",Data Analyst,http://www.indeed.com/rc/clk?jk=bae6f0b480955c0b&fccid=d461ef0ed1c43411,,,0,19-24 days ago,1,3
42,"IHRC, Inc.",,"Atlanta, GA",,"Experience with Case-Control study design and analysis, genomic and protein sequence analysis, machine learning, data mining, biological system modeling and...",Statistician,http://www.indeed.com/rc/clk?jk=68bd81caeeb78a0b&fccid=23f38b77cb0a6525,,,0,13-18 days ago,1,3
48,iSymmetry,2.0,"Atlanta, GA",3.25,Implement Client's machine learning algorithm into our client’s data feeds. Experience with applying machine learning techniques to predictive modeling....,Data Scientist,http://www.indeed.com/rc/clk?jk=253f6e7a21bd8c4e&fccid=da57353978c7b193,,,0,1-6 days ago,1,4
49,State Farm Mutual Automobile Insurance Company,3426.0,"Atlanta, GA",4.25,"Academic background in quantitative disciplines and methodologies such as applied and computational statistics, text and data mining, artificial intelligence,...",Research Statistician,http://www.indeed.com/rc/clk?jk=d495f2bb1d25c436&fccid=d2310af9b3bb8585,,,0,1-6 days ago,1,4
50,Feedzai,,"Atlanta, GA",,Implement Feedzai's machine learning algorithm into our client’s data feeds. You have experience with applying machine learning techniques to predictive...,Data Scientist,http://www.indeed.com/rc/clk?jk=241bf43cfe61f5c0&fccid=ad93a7e288dc7118,,,0,more than 30 days ago,1,4
51,KPMG,1810.0,"Atlanta, GA",4.25,"KPMG is currently seeking a Data Scientist, to join our Advanced Data Analytics team in our Atlanta, GA office....","Data Scientist, Natural Language Processing",http://www.indeed.com/rc/clk?jk=564598809d60ebbc&fccid=2dd390c3a48a7ed0,,,0,more than 30 days ago,1,4
52,"Elavon, Inc.",2.0,"Atlanta, GA",3.5,"Bank Model Risk program, manage the Elavon Tool Risk program, and escalate issues to Senior Management as appropriate. Strong project management experience....",Quantitative Analyst,http://www.indeed.com/rc/clk?jk=595d75f7fff962a2&fccid=cc57979bff12068b,,,0,7-12 days ago,1,4
53,Keysight Technologies,22.0,"Atlanta, GA",4.25,The focus of this position will be research in applying machine learning technologies to scalable cognitive systems....,Machine Learning Researcher,http://www.indeed.com/rc/clk?jk=000a33b0efb2f177&fccid=d072500b76ca23c2,,,0,25-30 days ago,1,4
54,Cox Automotive,46.0,"Atlanta, GA",3.4,"Interpret and develop solutions to business problems using data analysis, data mining, optimization tools, and machine learning techniques, and statistics....",Senior Data Scientist,http://www.indeed.com/rc/clk?jk=4506db6134215077&fccid=7e465a3d521b3ac3,,,0,25-30 days ago,1,4
55,Vesta Corporation,31.0,"Atlanta, GA",3.35,"Or PhD in Computer Science, Statistics, Applied Math, or a quantitative field with a strong background in machine learning and data mining....",Senior Data Scientist,http://www.indeed.com/rc/clk?jk=24cec20de39398ca&fccid=014d50139a27300f,,,0,more than 30 days ago,1,4
56,Analytic Recruiting,2.0,"Atlanta, GA",4.25,"Experience with Teradata SQL, MS SQL server Data Visualization (e.g., Tableau or other), Access, Excel, Visual Basic,....",Junior Data Scientist,http://www.indeed.com/rc/clk?jk=78b9859975833fda&fccid=3b4e0f2c2deb87d6,yearly,82500.0,0,19-24 days ago,0,4
57,SunTrust,2137.0,"Atlanta, GA",3.55,"Manage research activities that support the Bank's market risk model development. Work with the team's internal partners to design market risk methodology,...",Market Risk Quantitative Analyst,http://www.indeed.com/rc/clk?jk=113c96f579d987ad&fccid=131f8387a45b81d9,,,0,13-18 days ago,1,4
63,Deloitte,3568.0,"Atlanta, GA",4.25,"Perform data studies and data discovery routines for video, voice, weblog, sensor, machine and social media data sources or mash ups of new and existing data...",Advanced Analytics Enablement Big Data Senior Consultant,http://www.indeed.com/rc/clk?jk=5f7521a0d748ffe0&fccid=9e215d88a6b33622,,,0,13-18 days ago,1,5
64,Capgemini,2056.0,"Atlanta, GA",3.7,"If you are passionate about solving problems in the realm of cognitive computing, big data, and machine learning while utilizing business acumen, statistical...","Sr. Manager, Data Science",http://www.indeed.com/rc/clk?jk=f0166b4c3e0d5e35&fccid=105ecfd0283f415f,,,0,7-12 days ago,1,5
65,SunTrust,2137.0,"Atlanta, GA",3.55,"Programming skills (SAS, R, Matlab). Deep knowledge of statistical model development techniques required. Uses statistical theory to develop models....",Quantitative Analyst,http://www.indeed.com/rc/clk?jk=7e4adaad1d206b08&fccid=131f8387a45b81d9,,,0,19-24 days ago,1,5
66,"ATR International, Inc.",17.0,"Atlanta, GA",4.40000025,"We are seeking a Data Scientist- Big Data for a very important client. Applied Research, Analytics, etc.)....",Data Scientist- Big Data,http://www.indeed.com/rc/clk?jk=1f2aaa31c88e4894&fccid=3ac765140903218f,,,0,1-6 days ago,1,5
67,LexisNexis,363.0,"Atlanta, GA",3.65,"7+ years applied modeling and analytics experience in applicable industry; Combining cutting-edge technology, unique data and advanced scoring analytics, we...",Sr Statistical Modeler,http://www.indeed.com/rc/clk?jk=9c3a8ebb41473dde&fccid=8fd36856966c7aad,,,0,1-6 days ago,0,5
68,Honeywell,3556.0,"Atlanta, GA",3.7,Work closely with data scientists and product managers to understand their data requirements for existing and future projects on data analytics applications....,Big Data Architect,http://www.indeed.com/rc/clk?jk=932a2cbc29121ff8&fccid=50208b5bf45ee3b8,,,0,1-6 days ago,1,5
69,NCR,741.0,"Atlanta, GA",3.5,Clearly communicate the business and technical benefits of analytics and visualization to both business and technical audiences....,Data Scientist-1,http://www.indeed.com/rc/clk?jk=f1a895769c3843c7&fccid=50597ebf467edd46,,,0,25-30 days ago,0,5
70,CHASE Professionals,171.0,"Atlanta, GA",3.65,1-3 years of Data Science/Data Analytics. Our global leading client in the Self Service Kiosk industry has multiple openings for Entry to Mid Level Data...,Data Scientist/ Data Analyst,http://www.indeed.com/cmp/CHASE-Professionals/jobs/Data-Scientist-a5d16e199405e76e?r=1&fccid=8c9113c181e57874,,,0,1-6 days ago,0,5
71,Oak Ridge Associated Universities,16.0,"Atlanta, GA",3.6,"This activity is designed to develop competencies related to the use of scientific methods (LMBP A-6 methods) to identify, screen, appraise, and analyze the...",Systematic Review Faculty Research Position - CDC,http://www.indeed.com/rc/clk?jk=5141d921f21129bd&fccid=9ee66ada40315e6d,,,0,7-12 days ago,1,5
72,krg technology inc,,"Atlanta, GA",,Data scientist with either a Masters or PhD. Should know Machine learning. Someone who has experience setting up a soln using Hadoop/ MLlib with Spark....,Data Scientist,http://www.indeed.com/rc/clk?jk=c033d176ea5a13bf&fccid=46d21cee34c18541,,,0,more than 30 days ago,0,5
78,Honeywell,3556.0,"Atlanta, GA",3.7,"You will be responsible for working closely with data scientists to implement and integrate analytics solutions into operational platforms, including Hadoop and...",Analytics DevOps Engineer,http://www.indeed.com/rc/clk?jk=27b511fcc7265dd7&fccid=50208b5bf45ee3b8,,,0,more than 30 days ago,1,6
79,Reed Elsevier,34.0,"Atlanta, GA",3.6,"7+ years applied modeling and analytics experience in applicable industry; Combining cutting-edge technology, unique data and advanced scoring analytics, we...",Sr Statistical Modeler,http://www.indeed.com/rc/clk?jk=75c8e21854e070c5&fccid=f7a0f0e88ce3d78e,,,0,1-6 days ago,0,6
80,Home Depot,21066.0,"Atlanta, GA",3.65,"Data mining, optimization, statistics, machine learning, programming, data modeling, database design, retail domain knowledge, and reporting....",DATA SCIENTIST- Space Optimization,http://www.indeed.com/rc/clk?jk=05c1eec0aa2a1018&fccid=82e58e9861d48566,,,0,13-18 days ago,1,6
81,Northrop Grumman,2159.0,"Atlanta, GA",4.25,"Support HAI Prevention Implementation activity, working with and assisting a multidisciplinary team of epidemiologists, statisticians, health educators, medical...",HAI Prevention Data Analyst,http://www.indeed.com/rc/clk?jk=09cf98bd4dad5e2d&fccid=11619ce0d3c2c733,,,0,25-30 days ago,1,6
82,Centers for Disease Control and Prevention,66.0,"Atlanta, GA",4.5,"Department of Health and Human Services (DHHS), Centers for Disease Control and Prevention (CDC), Center for Surveillance, Epidemiology and Laboratory (CSELS),...",Health Scientist,http://www.indeed.com/rc/clk?jk=34cd7e560e06b0a0&fccid=3e901f592b439cea,yearly,85399.0,0,7-12 days ago,1,6
83,Georgia Tech Research Institute,260.0,"Atlanta, GA",4.40000025,"The Georgia Tech Research Institute's Machine Learning and Analytics branch is looking for candidates experienced with machine learning, computer vision, and...",Machine Learning-Data Science Computer Vision Researcher ATA...,http://www.indeed.com/rc/clk?jk=0b18bd331be1a5ca&fccid=db25687464a9ecf6,,,0,more than 30 days ago,1,6
84,Strive Consulting LLC,,"Atlanta, GA",,Preforming SQL queries on large data tables. Strive Consulting has a need for a *Mid/Senior-Level Data Scientist*....,Mid/Sr Data Scientist,http://www.indeed.com/company/Strive-Consulting-LLC/jobs/Mid-Senior-Data-Scientist-dedd076d3befa2ae?r=1&fccid=ac9050540d54f119,,,0,more than 30 days ago,1,6
85,Lifetime Fitness,762.0,"Atlanta, GA",3.55,Experience tracking statistical data for basketball games. Track all relevant statistics during games. Work closely with League Coordinator to ensure member...,Ultimate Hoops Statistician,http://www.indeed.com/rc/clk?jk=c35d04e318052795&fccid=8f04ebcdc1ee8430,,,0,more than 30 days ago,1,6
86,Honeywell,3556.0,"Atlanta, GA",3.7,"Data modeling, mining, pattern analysis, data visualization and machine learning solutions to address customer needs....",Analytics Data Scientist,http://www.indeed.com/rc/clk?jk=9b253c3eeae5f37a&fccid=50208b5bf45ee3b8,,,0,more than 30 days ago,1,6
87,Macy's,14439.0,"Atlanta, GA",3.6,"May manage the development phase of work type 1 and small work type 2 projects, or plays a key role on a larger project team....",Senior Developer - Machine Learning,http://www.indeed.com/rc/clk?jk=c785d9cf2df1871e&fccid=6df24d87c9f05a07,,,0,7-12 days ago,1,6
108,Capgemini,2056.0,"Atlanta, GA",3.7,"If you are passionate about solving problems in the realm of cognitive computing, big data, and machine learning while utilizing business acumen, statistical...","Manager, Data Science",http://www.indeed.com/rc/clk?jk=368de8eb8c98c3ce&fccid=105ecfd0283f415f,,,0,13-18 days ago,1,8
109,AB Sciex Pte,,"Atlanta, GA",,"Degree with 3 to 5 years of Project Management experience with proven track record in managing projects, and be able to provide examples and project artifacts,...",Analyst II Project Management,http://www.indeed.com/rc/clk?jk=9d184544f57296c2&fccid=2145cbd11f1df875,,,0,in the last day,1,8
110,"Beckman Coulter, Inc.",247.0,"Atlanta, GA",3.55,"Degree with 3 to 5 years of Project Management experience with proven track record in managing projects, and be able to provide examples and project artifacts,...",Analyst II Project Management,http://www.indeed.com/rc/clk?jk=1e76423632e841b2&fccid=432c7642003cc768,,,0,1-6 days ago,1,8
111,Verizon,11332.0,"Atlanta, GA",4.25,"Apply machine learning and statistical techniques to large data sets to find actionable insights. Lead & manage data augmentation, clean up and data quality...",Senior Data Scientist,http://www.indeed.com/rc/clk?jk=2eeab08cd59a3296&fccid=f7029f63fe5c906e,,,0,more than 30 days ago,0,8
112,Emory University,262.0,"Atlanta, GA",4.3,"Our staff works closely with Yerkes and Affiliate Scientists as a service core to design and carry out imaging experiments, and analyze and interpret imaging...",Director Imagining Center- Yerkes National Primate Research...,http://www.indeed.com/rc/clk?jk=53c70c70bee32fd3&fccid=efe5e2d22a1d29e5,,,0,1-6 days ago,1,8
113,Pindrop,,"Atlanta, GA",,Machine learning and/or data mining. You are familiar with basic machine learning concepts. See how data science can help you beat the bracket at our Data...,Research Scientist - Audio,http://www.indeed.com/rc/clk?jk=494e519b31d858fb&fccid=bf5bb97b6f41b86d,,,0,13-18 days ago,1,8
114,Primus Software Corp.,,"Atlanta, GA",,"Data Analysis and interpretation:. Strong data analysis and interpretations, problem solving skills, excellent communications skills, basic experience on...",GIS Data Analysis & Interpretation,http://www.indeed.com/company/PSC/jobs/GIS-Data-Analysis-Interpretation-2bd6a68b09471ca1?r=1&fccid=bff31463c44c6f71,,,0,1-6 days ago,1,8
115,Stackfolio,,"Atlanta, GA",,A competitive full-time salary as well as a great options package that will only be available to this early batch of hires....,Lead Data Scientist,http://www.indeed.com/company/Stackfolio/jobs/Lead-Data-Scientist-be3a7444db34e9a3?r=1&fccid=5a5990c5dca07ad0,yearly,80000.0,0,more than 30 days ago,1,8
116,Lockheed Martin,3474.0,"Atlanta, GA",4.3,"Experience with full-scale pole model design, fabrication, testing, and data reduction. The candidate should have good presentation skills and be able to...",Research Scientist Senior,http://www.indeed.com/rc/clk?jk=fd7f3b86c36b9de6&fccid=aeb15e43a6800b9d,,,0,1-6 days ago,0,8
117,Planet Pharma,,"Atlanta, GA",,Actively monitors patent and scientific literature for significant technical developments relevant to CL and CLC products....,Associate Research Scientist,http://www.indeed.com/company/Planet-Pharma/jobs/Associate-Research-Scientist-6ebfa7ce8cc7296e?r=1&fccid=9d4986a32b91524f,,,0,in the last day,0,8
123,Deloitte,3568.0,"Atlanta, GA",4.25,"Perform data studies and data discovery routines for video, voice, weblog, sensor, machine and social media data sources or mash ups of new and existing data...",Insurance AAE Big Data Senior Consultant,http://www.indeed.com/rc/clk?jk=c962a3e836f2aa06&fccid=9e215d88a6b33622,,,0,13-18 days ago,1,9
124,Turner,253.0,"Atlanta, GA",4.25,"This key analytics role will be responsible fusing consumer analytics, statistical modeling, machine learning, behavioral segmentation, clustering analysis and...",Sr. Data Scientist,http://www.indeed.com/rc/clk?jk=8b86e74e5182e663&fccid=92b6ad9b1bd886b6,,,0,more than 30 days ago,1,9
125,KPMG,1810.0,"Atlanta, GA",4.25,"Lead the design and development of tools and solutions working with data scientists, data integration teams and visualization experts to deliver analysis that...",Sr. Manager - Data Analytics,http://www.indeed.com/rc/clk?jk=45ead534ae80342a&fccid=2dd390c3a48a7ed0,,,0,more than 30 days ago,1,9
126,Epsilon,117.0,"Atlanta, GA",3.3,"QA/QC data and analysis output to ensure accuracy. Bachelor’s degree in a quantitative discipline (e.g., statistics, economics, mathematics, marketing analytics...",Senior Statistician,http://www.indeed.com/rc/clk?jk=d96ef8cfacfe7f8d&fccid=d20278fc46c90d65,,,0,7-12 days ago,1,9
127,"Geosyntec Consultants, Inc.",,"Atlanta, GA",,"Advanced degree (MS, MPH, PhD) in toxicology, public health, or related health science discipline. This position requires OSHA health and safety, first aid, CPR...",Toxicologist / Risk Assessment Scientist,http://www.indeed.com/rc/clk?jk=4f8c165c4593c2cd&fccid=bd76dce80af676b9,,,0,7-12 days ago,1,9
128,Verizon,11332.0,"Atlanta, GA",4.25,"3 + years of experience as a data scientist, analyst or statistical modeler Extensive experience in Digital and Cross Channel Analytics using Discovery and Data...",Data Scientist - Digital Analytics,http://www.indeed.com/rc/clk?jk=4637fd8f6b21c709&fccid=f7029f63fe5c906e,,,0,19-24 days ago,0,9
129,"IHRC, Inc.",,"Atlanta, GA",,"Additionally, the Genomics Laboratory Scientist will provide scientific and technical consulting services to support the identification of potential inter-...",Genomics Laboratory Scientist - Parasitic/Leishmania,http://www.indeed.com/rc/clk?jk=7ff56306c7b40b8a&fccid=23f38b77cb0a6525,,,0,1-6 days ago,1,9
130,Home Depot,21066.0,"Atlanta, GA",3.65,"Data Scientists are responsible for organizing, analyzing, and then sharing insights gleaned from data. And SQL skills (Writing complex queries to pull large...",Data Scientist Ops Research,http://www.indeed.com/rc/clk?jk=850285256e98fe3b&fccid=82e58e9861d48566,,,0,25-30 days ago,1,9
131,StrategyWise,,"Atlanta, GA",,"Technical expertise regarding data models, data mining and segmentation techniques. Proficiency with common data science toolkits including intermediate to...",Data Analyst,http://www.indeed.com/rc/clk?jk=5799213023e69929&fccid=c19bcc6d30efbcb0,,,0,more than 30 days ago,1,9
132,North Highland,19.0,"Atlanta, GA",3.45,"Extensive experience with wide array of analytical approaches (predictive modeling and analytics, explanatory modeling, data mining, etc.)....",Business Intelligence Data Scientist,http://www.indeed.com/rc/clk?jk=9f50fa0514c0b1aa&fccid=6739b4771db42138,,,0,more than 30 days ago,1,9
