,company,number_reviews,search_city,star_rating,summary,title,how_paid,annual_salary,is_sponsored,time_since_posted,in_city,page,expensive_city,rating_cat
78,ASSURANT,1155.0,"Atlanta, GA",3.6,"The primary objective of this position is to ensure that Data Analytics COE department delivers fraud analytics and provide data-driven, action-oriented...",Sr Data Scientist - Fraud,,,0,more than 30 days ago,1,6,0,low_rating
81,Capgemini,2135.0,"Atlanta, GA",3.65,"If you are passionate about solving problems in the realm of cognitive computing, big data, and machine learning while utilizing business acumen, statistical...",Sr. Consultant - Data Science,,,0,more than 30 days ago,1,6,0,low_rating
82,360i,9.0,"Atlanta, GA",4.25,The Associate Data Scientist will be mentored by senior members of the department with the goal of learning more advanced data science skills such as...,Associate Data Scientist,,,0,more than 30 days ago,1,6,0,high_rating
83,Northrop Grumman,2182.0,"Atlanta, GA",4.25,"Support HAI Prevention Implementation activity, working with and assisting a multidisciplinary team of epidemiologists, statisticians, health educators, medical...",HAI Prevention Data Analyst,,,0,more than 30 days ago,1,6,0,high_rating
84,Mckesson,1576.0,"Atlanta, GA",3.55,The position will support a cross-functional team and provide in-depth data insights for complex business problems that can be approached with advanced...,"Data Scientist, Analytics",,,0,more than 30 days ago,0,6,0,low_rating
85,Honeywell,3625.0,"Atlanta, GA",3.7,Work closely with data scientists and product managers to understand their data requirements for existing and future projects on data analytics applications....,Big Data Architect,,,0,more than 30 days ago,1,6,0,low_rating
86,Keysight Technologies,23.0,"Atlanta, GA",4.25,The focus of this position will be research in applying machine learning technologies to scalable cognitive systems....,Machine Learning Researcher,,,0,more than 30 days ago,1,6,0,high_rating
87,Capgemini,2135.0,"Atlanta, GA",3.65,"Work with business and functional analysts, and software & solution architects in ensuring that programs and systems function as intended Supervise, mentor and...",Senior Programmer/Developer - Data Scientist Developer,,,0,25-30 days ago,1,6,0,low_rating
93,Lifetime Fitness,788.0,"Atlanta, GA",3.55,Experience tracking statistical data for basketball games. Track all relevant statistics during games. Work closely with League Coordinator to ensure member...,Ultimate Hoops Statistician,,,0,25-30 days ago,0,7,0,low_rating
96,Home Depot,21615.0,"Atlanta, GA",3.65,And operates under minimal supervision and mentorship of more experienced managers and data scientists. Prior direct experience in analyzing the relevant...,"Senior Data Analyst, Supply Chain",,,0,1-6 days ago,1,7,0,low_rating
97,The Bizzell Group,0.0,"Atlanta, GA",,Formulate with scientists whether and how DUIP’s fall prevention program (STEADI) can be used in clinical settings....,Injury Prevention Consultant,,,0,7-12 days ago,1,7,0,no_rating
99,Infor,64.0,"Atlanta, GA",3.55,"Senior Data Scientist. Working closely with Predictix Project Team, as well as Client Project Team to ensure quality work is delivered and deadlines are met....",Sr. Data Scientist,,,0,more than 30 days ago,1,7,0,low_rating
101,General Assembly,80.0,"Atlanta, GA",4.40000025,"You are eager to shape the skills, minds, and trajectories of the newest generation of data scientists. Data visualization techniques;...",Part Time Data Science Instructor,,,0,more than 30 days ago,1,7,0,high_rating
102,Analytic Recruiting,2.0,"Atlanta, GA",4.25,"Experience with Teradata SQL, MS SQL server Data Visualization (e.g., Tableau or other), Access, Excel, Visual Basic,....",Junior Data Scientist,yearly,82500.0,0,more than 30 days ago,1,7,0,high_rating
108,Pindrop,0.0,"Atlanta, GA",,Machine learning and/or data mining. Familiar with basic machine learning concepts. See how data science can help you beat the bracket at our Data Science in...,Research Scientist - Audio | Fluent Portuguese,,,0,more than 30 days ago,1,8,0,no_rating
109,"Physio-Control, Inc.",0.0,"Atlanta, GA",,"If that doesn't pique your interest, we’ve got scientists, motorcycle racers, some serious sailors, biking enthusiasts, whiteboard artists, videographers,...",Field Service Representative II,,,0,1-6 days ago,1,8,0,no_rating
112,Pindrop,0.0,"Atlanta, GA",,Machine learning and/or data mining. You are familiar with basic machine learning concepts. See how data science can help you beat the bracket at our Data...,Research Scientist - Audio,,,0,more than 30 days ago,1,8,0,no_rating
113,"Beckman Coulter, Inc.",249.0,"Atlanta, GA",3.55,"For 80 years, our products have been making a difference in peoples’ lives by improving the productivity of medical professionals and scientists, supplying...",Informatics Technical Specialist,,,0,19-24 days ago,1,8,0,low_rating
114,Oversight Systems,2.0,"Atlanta, GA",5.0,"Oversight reduces the need for hard--to--find data scientists and reduces the cost for analysis. Through Insights On Demand, Oversight provides customer--proven...",Demand Creation Associate,,,0,19-24 days ago,1,8,0,high_rating
115,iSymmetry,2.0,"Atlanta, GA",3.25,Implement Client's machine learning algorithm into our client’s data feeds. Experience with applying machine learning techniques to predictive modeling....,Data Scientist Full Time W2 Only Local to Atlanta,,,0,more than 30 days ago,1,8,0,low_rating
116,Georgia Tech Research Institute,265.0,"Atlanta, GA",4.40000025,"The Georgia Tech Research Institute's Machine Learning and Analytics branch is looking for candidates experienced with machine learning, computer vision, and...",Machine Learning-Data Science Computer Vision Researcher ATA...,,,0,more than 30 days ago,1,8,0,high_rating
117,Honeywell,3625.0,"Atlanta, GA",3.7,Work closely with data scientists and product managers to understand their data requirements for existing and future projects on data analytics applications....,"Sr Data Engineer - Atlanta, GA",,,0,more than 30 days ago,1,8,0,low_rating
120,MobileDev Power,0.0,"Atlanta, GA",,"Authoritative quantitative analysis skills, particularly in machine learning, multivariate statistical modeling, and data mining....",Data Scientist With Predictive Modeling,,,0,more than 30 days ago,1,9,0,no_rating
121,Predictive Science,0.0,"Atlanta, GA",,This is a freelance data scientist position who will work with other senior data scientists to consult with executives and data scientists who are a part of the...,Data Scientist,,,0,more than 30 days ago,0,9,0,no_rating
122,"IHRC, Inc.",0.0,"Atlanta, GA",,"Experience with Case-Control study design and analysis, genomic and protein sequence analysis, machine learning, data mining, biological system modeling and...",Statistician,,,0,more than 30 days ago,1,9,0,no_rating
123,360i,9.0,"Atlanta, GA",4.25,The Associate Data Scientist will be mentored by senior members of the department with the goal of learning more advanced data science skills such as...,Senior Data Scientist,,,0,more than 30 days ago,1,9,0,high_rating
124,Castle Medical,43.0,"Atlanta, GA",4.34999975,Be able to interpret chromatographic data and apply various clinical laboratory software packages to MS based data for quantitation and reporting of lab result....,Toxicologist / Certifying Scientist,,,0,1-6 days ago,0,9,0,high_rating
125,Honeywell,3625.0,"Atlanta, GA",3.7,"Support and mentor data scientists. Minimum of 5 years of experience in a combination of data science, machine learning, predictive analytics, statistical...","Principal Data Scientist - Atlanta, GA",,,0,more than 30 days ago,1,9,0,low_rating
126,CDK Global,83.0,"Atlanta, GA",3.4,"From data scientists to sales and operations experts, we’re hiring to support your growth and ours - Green light your career ....",Vehicle Registration Auditor,,,0,1-6 days ago,0,9,0,low_rating
127,InfoMart,2.0,"Atlanta, GA",4.25,Assess data from various databases and information systems to check for inconsistencies related to the applicant's background....,Online Analyst (Research),,,0,13-18 days ago,0,9,0,high_rating
128,Tetra Tech,126.0,"Atlanta, GA",3.5,Catalog and manage databases. Compile and compute a variety of data; Prepare memos and reports to contribute to project documentation and deliverables....,Water Resources Engineer/Scientist (ATL),,,0,13-18 days ago,1,9,0,low_rating
129,YesRecruiters.com,0.0,"Atlanta, GA",,"Data Scientist (Hadoop) (preferably HDP):. Sr Data Scientist (Hadoop) - Information Technology - in Duluth, GA - 10301....","Sr Data Scientist (Hadoop) in Duluth, GA",,,0,7-12 days ago,0,9,0,no_rating
130,WestRock,142.0,"Atlanta, GA",3.4,"And informally to continuously manage the productivity of the team, project timelines, and deliverables. Oversee project lifecycles, including project scope,...","Operations Research Analyst - Duluth, GA",,,0,19-24 days ago,0,9,0,low_rating
131,KPMG,1866.0,"Atlanta, GA",4.25,"Drive client engagements focused on Big Data and Advanced Business Analytics, in the Health Care space (Claims Data, Payor/Provider Data, Clinical Data etc);...",Manager - Health Care Analytics,,,0,more than 30 days ago,1,9,0,high_rating
136,ASSURANT,1155.0,"Atlanta, GA",3.6,"The primary objective of this position is to ensure that Data Analytics COE department delivers fraud analytics and provide data-driven, action-oriented...",Sr Data Scientist - Fraud,,,1,,1,10,0,low_rating
138,Terracon,73.0,"Atlanta, GA",3.3,Environmental Scientists at this level work under general direction with moderate supervision and are expected to apply their experience and increase...,Due Diligence Scientist - Phase I ESAs and Asbestos Inspecti...,,,0,7-12 days ago,0,10,0,low_rating
139,CocaCola,4454.0,"Atlanta, GA",3.7,"Knowledge of project management principles and the ability to apply the principles, tools and techniques to develop/plan, manage or execute projects or work...",Assistant Scientist- Flavor R&D,,,0,1-6 days ago,1,10,0,low_rating
141,Panasonic Automotive,33.0,"Atlanta, GA",3.65,"Using the latest machine learning and deep learning frameworks like Caffe, Theano, Torch, TensorFlow or similar....",Senior Software Engineer - Machine Learning Vision,,,0,13-18 days ago,1,10,0,low_rating
145,Cox Media Group,161.0,"Atlanta, GA",3.5,"Questionnaire design, data extraction and analysis, and strategic research insights. Data Extraction and Manipulation. Run data queries in Access....",Market Research Analyst,,,0,13-18 days ago,1,10,0,low_rating
146,Pindrop,0.0,"Atlanta, GA",,"Deep knowledge and understanding of pattern recognition, applied machine learning, computer vision and biometrics....",Computer Vision Research Engineer,,,0,more than 30 days ago,1,10,0,no_rating
153,GE Power,165.0,"Atlanta, GA",4.3,"Architects, Data Scientists, Businesses and Product Managers. Deploy Data Governance model including people, process and technology to sustain Data Quality for...",Staff Analytics Engineer – Installed Base,,,0,more than 30 days ago,1,11,0,high_rating
154,IBM Kenexa,12684.0,"Atlanta, GA",4.25,"At TWC we use science, data and user-driven insights to guide our work, but we also believe in a healthy dose of inspired storytelling as we strive to transform...",Sr. Product Designer - Native Apps,,,0,1-6 days ago,1,11,0,high_rating
155,GEORGIA-PACIFIC,982.0,"Atlanta, GA",3.55,"Subject matter expertise in data architecture, data mining, large-scale scientific modeling, analysis and support....",OPERATIONS EXCELLENCE DATA SCIENTIST - PROCESS ANALYTICS,,,0,more than 30 days ago,1,11,0,low_rating
156,TEGNA,4.0,"Atlanta, GA",3.5,Effectively visualize and present data and insights to key stakeholders. Develop and maintain relevant television audience reports and processes to help gather...,Research Analyst,,,0,more than 30 days ago,1,11,0,low_rating
158,Chenega Corporation,119.0,"Atlanta, GA",3.55,Bachelor’s degree in a scientific discipline and minimum of two years’ experience in a laboratory or clinical setting....,"Scientist I, Environmental CGC",,,0,1-6 days ago,1,11,0,low_rating
159,Stackfolio,0.0,"Atlanta, GA",,A competitive full-time salary as well as a great options package that will only be available to this early batch of hires....,Lead Data Scientist,yearly,80000.0,0,more than 30 days ago,1,11,0,no_rating
160,PreVisor,0.0,"Atlanta, GA",,"Serve as an internal subject matter expert, providing support to team members on solutions, especially related to the development and validation of assessment...",Research Scientist,,,0,more than 30 days ago,1,11,0,no_rating
162,Keysight Technologies,23.0,"Atlanta, GA",4.25,"We are seeking an enthusiastic, experienced and skilled Project Manager to lead a small team of researchers and developers working on projects that apply...","Project Manager, Machine Learning and Analytics Research",,,0,more than 30 days ago,1,11,0,high_rating
167,Atlanta Metropolitan College,10.0,"Atlanta, GA",4.40000025,"Provide technical support and services for faculty, scientists, and laboratory professionals working in fields such as, environmental science, resource...",Biology Laboratory Assistant II View,hourly,39520.0,0,7-12 days ago,1,12,0,high_rating
171,Quest Diagnostics,2131.0,"Atlanta, GA",3.65,Ensure that all certifying scientists maintain a working knowledge of the accessioning procedures and protocols to ensure proper specimen and chain of custody...,"Scientist, Certifying-Positive (PT 24hrs, Mon & Tues) Tucker...",,,0,13-18 days ago,0,12,0,low_rating
172,CDK Global,83.0,"Atlanta, GA",3.4,"From data scientists to sales and operations experts, we’re hiring to support your growth and ours. From data scientists to sales and operations experts, we’re...",Account Development Executive,,,0,19-24 days ago,1,12,0,low_rating
173,Smith Hanley Associates,12.0,"Atlanta, GA",4.3,"-Scope projects, extract and transform data using SAS, R and other programming skills. -Post degree business based experience doing data mining and statistical...",Marketing Statistician,yearly,87500.0,0,more than 30 days ago,1,12,0,high_rating
174,Oversight Systems,2.0,"Atlanta, GA",5.0,"Oversight reduces the need for hard-­-to-­-find data scientists and reduces the cost for analysis. Through Insights On Demand, Oversight provides customer-­...",Solutions Development Engineer,,,0,19-24 days ago,1,12,0,high_rating
175,DigitasLBi,25.0,"Atlanta, GA",4.3,"A digital media-savvy marketer and passionate problem-solver with the unstoppable drive to inspire teams and bring the best work to life, based on your...","VP/Group Dir, Connections Stgy",,,0,7-12 days ago,1,12,0,high_rating
176,Accountants One,2.0,"Atlanta, GA",4.5,The Waters Organization has been hired by a prominent real-estate firm in Atlanta to find a Marketing Research Analyst. Requirements below: 3-5 years of,Marketing Research Analyst,,,0,7-12 days ago,1,12,0,high_rating
181,Predictive Science,0.0,"Atlanta, GA",,This is a freelance data scientist position who will work with other senior data scientists to consult with executives and data scientists who are a part of the...,Data Scientist,,,0,,0,13,0,no_rating
182,"AEQUOR Technologies, Inc.",6.0,"Atlanta, GA",3.5,The Scientist is responsible for supporting the development of superior surface coatings for new contact lenses.• Develop and optimize surface coating chemistry...,Scientist I,,,0,more than 30 days ago,0,13,0,low_rating
183,Emory University,265.0,"Atlanta, GA",4.3,"The clinical informatics group fosters collaborative projects between software systems researchers and scientific research groups, and between clinical...",Assistant Professor -TT - Signal Processing & Machine Learni...,,,0,more than 30 days ago,1,13,0,high_rating
184,SimplePart.com,0.0,"Atlanta, GA",,You will be responsible for a team of analysts and data scientists tasked with creating and managing digital parts strategy for the world’s top automakers as...,Director of Business Analytics,,,0,more than 30 days ago,1,13,0,no_rating
186,Parsons Corporation,278.0,"Atlanta, GA",3.65,"6 months to 3 years of related work experience, which could include work as an engineer, scientist, or geologist in the environmental field including such...",Associate Environmental Scientist,,,0,1-6 days ago,0,13,0,low_rating
188,Equifax,236.0,"Atlanta, GA",3.6,"At least 5-10 years of working experience in analytics, data mining, data visualization, and/or predictive modeling....","Data Scientist, Identity & Linking",,,0,more than 30 days ago,0,13,0,low_rating
189,Georgia Tech Research Institute,265.0,"Atlanta, GA",4.40000025,"Travel may be involved, as project work may occur at a location other than Atlanta. Use optical engineering to develop designs, analysis methods, simulation...",Opto-Mechanical Engineer (Research Engineer I/II) EOSL-1239,,,0,7-12 days ago,1,13,0,high_rating
191,Lockheed Martin,3518.0,"Atlanta, GA",4.3,"Experience with full-scale pole model design, fabrication, testing, and data reduction. The candidate should have good presentation skills and be able to...",Research Scientist Senior,,,0,more than 30 days ago,0,13,0,high_rating
192,MobileDev Power,0.0,"Atlanta, GA",,"Authoritative quantitative analysis skills, particularly in machine learning, multivariate statistical modeling, and data mining....",Data Scientist With Predictive Modeling,,,0,,1,13,0,no_rating
194,Cotiviti,32.0,"Atlanta, GA",3.35,This is a pioneering data scientist who will participate in expanding the new analytics backbone. Cotiviti is looking for an industry leading Data Scientist to...,Data Scientist,,,0,,1,13,0,low_rating
197,Capgemini,2135.0,"Atlanta, GA",3.65,"If you are passionate about solving problems in the realm of cognitive computing, big data, and machine learning while utilizing business acumen, statistical...","Manager, Data Science",,,0,more than 30 days ago,1,14,0,low_rating
