,artist,track,length,genre,date_entered,date_peaked,weeks_on_chart,best_ranking,weeks_to_peak,Week,Ranking
134,Eve,Love Is Blind,3.85,Rap,2000-01-08,2000-02-19,16,34.0,6.0,1st_week,94.0
135,Aaliyah,I Don't Wanna,4.25,Rock,2000-01-29,2000-03-04,20,35.0,5.0,1st_week,84.0
136,"Montgomery, John Michael",The Little Girl,3.86666666667,Country,2000-09-09,2000-10-28,20,35.0,7.0,1st_week,81.0
137,"Carter, Aaron",Aaron's Party (Come Get It),3.38333333333,R&B,2000-08-26,2000-09-16,15,35.0,3.0,1st_week,99.0
138,"Vassar, Phil",Just Another Day In Paradise,3.9,Country,2000-09-30,2000-12-02,20,35.0,9.0,1st_week,81.0
139,Ice Cube,You Can Do It,4.33333333333,Rap,1999-12-04,2000-01-15,12,35.0,6.0,1st_week,86.0
140,"Wills, Mark",Back At One,4.0,Country,2000-01-15,2000-02-26,18,36.0,6.0,1st_week,89.0
141,Lucy Pearl,Dance Tonight,3.75,R&B,2000-05-20,2000-07-29,19,36.0,10.0,1st_week,80.0
142,"Jackson, Alan",It Must Be Love,2.88333333333,Country,2000-06-24,2000-09-02,20,37.0,10.0,1st_week,76.0
143,"Griggs, Andy",She's More,3.31666666667,Country,2000-03-11,2000-06-10,20,37.0,13.0,1st_week,81.0
144,No Doubt,Simple Kind Of Life,4.18333333333,Rock,2000-07-01,2000-07-22,13,38.0,3.0,1st_week,50.0
145,"Jean, Wyclef",911,4.0,Rap,2000-10-07,2000-11-25,19,38.0,7.0,1st_week,77.0
146,Rascal Flatts,Prayin' For Daylight,3.6,Country,2000-05-06,2000-08-12,20,38.0,14.0,1st_week,87.0
147,Vitamin C,Graduation (Friends Forever),4.38333333333,Rock,2000-04-15,2000-06-10,12,38.0,8.0,1st_week,81.0
148,"Gilman, Billy",One Voice,4.11666666667,Country,2000-06-17,2000-09-02,19,38.0,11.0,1st_week,86.0
149,Lonestar,Smile,3.55,Country,1999-12-18,2000-02-12,20,39.0,8.0,1st_week,89.0
150,"Rogers, Kenny",Buy Me A Rose,3.76666666667,Country,2000-03-11,2000-05-06,20,40.0,8.0,1st_week,79.0
151,"Lawrence, Tracy",Lessons Learned,2.91666666667,Country,2000-01-29,2000-04-08,20,40.0,10.0,1st_week,80.0
152,"Strait, George",Go On,3.8,Country,2000-08-26,2000-10-28,20,40.0,9.0,1st_week,71.0
153,Sisqo,Got To Get It,3.86666666667,Rock,1999-11-20,2000-01-22,20,40.0,9.0,1st_week,92.0
154,Baha Men,Who Let The Dogs Out,3.28333333333,R&B,2000-07-22,2000-10-21,20,40.0,13.0,1st_week,99.0
155,"Walker, Clay",The Chain Of Love,5.05,Country,2000-04-15,2000-06-10,20,40.0,8.0,1st_week,73.0
156,"McBride, Martina",Love's The Only House,5.21666666667,Country,2000-02-05,2000-04-15,20,42.0,10.0,1st_week,79.0
157,Amber,Sexual (Li Da Di),4.63333333333,Rock,1999-07-17,2000-02-12,29,42.0,30.0,1st_week,99.0
158,"Tippin, Aaron",Kiss This,2.88333333333,Country,2000-08-26,2000-10-21,20,42.0,8.0,1st_week,74.0
159,SheDaisy,I Will.. But,3.66666666667,Country,2000-07-15,2000-09-16,20,43.0,9.0,1st_week,78.0
160,"Raye, Collin",Couldn't Last A Moment,3.66666666667,Country,2000-03-18,2000-06-24,20,43.0,14.0,1st_week,91.0
161,Black Rob,Whoa!,4.06666666667,Rap,2000-03-04,2000-04-15,17,43.0,6.0,1st_week,78.0
162,"Jackson, Alan",Pop A Top,3.06666666667,Country,1999-11-13,2000-01-22,17,43.0,10.0,1st_week,79.0
163,"Black, Clint",Been There,5.46666666667,Country,2000-02-19,2000-04-15,20,44.0,8.0,1st_week,87.0
164,Common,The Light,3.91666666667,Rap,2000-08-05,2000-09-09,19,44.0,5.0,1st_week,75.0
165,"Vassar, Phil",Carlene,4.11666666667,Country,2000-03-04,2000-04-22,19,45.0,7.0,1st_week,75.0
166,"Jackson, Alan",www.memory,2.6,Country,2000-11-04,2000-12-23,15,45.0,7.0,1st_week,75.0
167,Vitamin C,The Itch,3.5,Rock,2000-12-02,2000-12-16,9,45.0,2.0,1st_week,86.0
168,"Eastsidaz, The",G'D Up,4.45,Rap,2000-01-08,2000-02-12,14,47.0,5.0,1st_week,77.0
169,Ideal,Whatever,3.8,R&B,2000-06-10,2000-08-19,18,47.0,10.0,1st_week,75.0
170,"Thomas, Carl",Emotional,4.51666666667,Rock,2000-11-25,2000-12-30,20,47.0,5.0,1st_week,77.0
171,Ginuwine,None Of Ur Friends Business,4.2,Rock,1999-12-11,2000-01-22,15,48.0,6.0,1st_week,94.0
172,"Davidson, Clay",Unconditional,3.93333333333,Country,2000-03-25,2000-06-17,20,49.0,12.0,1st_week,97.0
173,DMX,What You Want,4.08333333333,Rap,2000-07-01,2000-09-23,20,49.0,12.0,1st_week,98.0
174,"John, Elton",Someday Out Of The Blue,4.68333333333,Rock,2000-04-22,2000-05-06,15,49.0,2.0,1st_week,56.0
175,Pearl Jam,Nothing As It Seems,5.33333333333,Rock,2000-05-13,2000-05-13,6,49.0,0.0,1st_week,49.0
176,Mya,The Best Of Me,4.2,Rock,2000-04-15,2000-05-20,17,50.0,5.0,1st_week,85.0
177,"Heatherly, Eric",Flowers On The Wall,3.26666666667,Country,2000-04-29,2000-08-12,20,50.0,15.0,1st_week,95.0
178,Eminem,Stan,5.43333333333,Rap,2000-11-04,2000-12-02,15,51.0,4.0,1st_week,78.0
179,"McEntire, Reba",I'll Be,4.38333333333,Country,2000-05-13,2000-07-29,20,51.0,11.0,1st_week,89.0
180,"Lopez, Jennifer",Feelin' Good,4.46666666667,Latin,2000-02-19,2000-04-08,17,51.0,7.0,1st_week,79.0
181,"Urban, Keith",Your Everything,4.16666666667,Country,2000-07-15,2000-09-16,16,51.0,9.0,1st_week,81.0
182,TLC,Dear Lie,4.6,Rock,2000-02-12,2000-03-04,7,51.0,3.0,1st_week,63.0
183,"Gill, Vince",Feels Like Love,4.21666666667,Country,2000-09-02,2000-11-18,20,52.0,11.0,1st_week,82.0
184,"Houston, Whitney",Could I Have This Kiss Forever,3.9,Rock,2000-06-17,2000-08-05,19,52.0,7.0,1st_week,74.0
185,Bloodhound Gang,The Bad Touch,4.33333333333,R&B,2000-03-18,2000-04-15,12,52.0,4.0,1st_week,70.0
186,"Williams, Robbie",Angels,3.93333333333,Rock,1999-11-20,2000-01-22,19,53.0,9.0,1st_week,85.0
187,"Messina, Jo Dee",Because You Love Me,3.83333333333,Country,2000-01-29,2000-03-11,13,53.0,6.0,1st_week,83.0
188,"Keith, Toby",Country Comes To Town,3.65,Country,2000-08-05,2000-10-14,15,54.0,10.0,1st_week,82.0
189,Beenie Man,Girls Dem Sugar,4.28333333333,Reggae,2000-10-21,2000-12-02,15,54.0,6.0,1st_week,72.0
190,"Hill, Faith",Let's Make Love,4.18333333333,Rap,2000-08-12,2000-10-21,14,54.0,10.0,1st_week,83.0
191,Kelis,Caught Out There,4.15,R&B,1999-12-04,2000-01-08,12,54.0,5.0,1st_week,84.0
192,Jay-Z,Anything,3.68333333333,Rap,2000-02-26,2000-03-11,8,55.0,2.0,1st_week,72.0
193,3 Doors Down,Loser,4.4,Rock,2000-10-21,2000-12-02,20,55.0,6.0,1st_week,76.0
194,Brooks & Dunn,You'll Always Be Loved By Me,2.96666666667,Country,2000-06-10,2000-09-09,19,55.0,13.0,1st_week,95.0
195,"Chesney, Kenny",What I Need To Do,4.08333333333,Country,2000-04-01,2000-06-10,17,56.0,10.0,1st_week,79.0
196,"Stone, Angie",No More Rain (In This Cloud),4.7,R&B,1999-12-25,2000-01-22,17,56.0,4.0,1st_week,86.0
197,Da Brat,That's What I'm Looking For,3.73333333333,Rap,2000-02-26,2000-04-15,18,56.0,7.0,1st_week,93.0
198,SheDaisy,This Woman Needs,3.33333333333,Country,2000-02-05,2000-03-04,9,57.0,4.0,1st_week,82.0
199,Papa Roach,Last Resort,3.31666666667,Rock,2000-07-29,2000-12-02,20,57.0,18.0,1st_week,75.0
200,"Adams, Yolanda",Open My Heart,5.5,Gospel,2000-08-26,2000-10-21,20,57.0,8.0,1st_week,76.0
201,Shyne,Bad Boyz,4.36666666667,Rap,2000-09-09,2000-10-28,15,57.0,7.0,1st_week,94.0
202,R.E.M.,The Great Beyond,4.16666666667,Rock,1999-12-25,2000-01-29,14,57.0,5.0,1st_week,79.0
203,"Diffie, Joe",It's Always Somethin',2.91666666667,Country,2000-08-12,2000-09-16,14,57.0,5.0,1st_week,81.0
204,"McGraw, Tim",Some Things Never Change,3.93333333333,Country,2000-05-13,2000-07-01,14,58.0,7.0,1st_week,76.0
205,"Henley, Don",Taking You Home,4.13333333333,Rock,2000-06-24,2000-08-05,20,58.0,6.0,1st_week,79.0
206,Eminem,The Way I Am,4.66666666667,Rap,2000-08-26,2000-09-30,10,58.0,5.0,1st_week,87.0
207,Nas,You Owe Me,3.85,R&B,2000-03-25,2000-04-15,16,59.0,3.0,1st_week,74.0
208,Sister Hazel,Change Your Mind,4.03333333333,Rock,2000-07-15,2000-08-05,20,59.0,3.0,1st_week,75.0
209,Puff Daddy,Best Friend,5.55,Rap,2000-02-12,2000-02-19,5,59.0,1.0,1st_week,65.0
210,"McBride, Martina",There You Are,3.43333333333,Country,2000-09-09,2000-10-21,13,60.0,6.0,1st_week,79.0
211,Usher,Pop Ya Collar,3.6,Rock,2000-11-04,2000-11-18,7,60.0,2.0,1st_week,68.0
212,Lil' Kim,No Matter What They Say,4.2,Rap,2000-07-15,2000-08-05,10,60.0,3.0,1st_week,80.0
213,LFO,I Don't Wanna Kiss You Goodnight,5.0,Rock,2000-04-15,2000-04-22,5,61.0,1.0,1st_week,63.0
214,SheDaisy,Deck The Halls,3.76666666667,Country,1999-12-25,2000-01-01,2,61.0,1.0,1st_week,97.0
215,Splender,I Think God Can Explain,3.91666666667,R&B,2000-06-10,2000-06-24,12,62.0,2.0,1st_week,71.0
216,"Simpson, Jessica",Where You Are,3.85,Rock,2000-04-01,2000-04-15,6,62.0,2.0,1st_week,73.0
217,M2M,Mirror Mirror,3.31666666667,Pop,2000-04-01,2000-05-27,18,62.0,8.0,1st_week,87.0
218,Kumbia Kings,U Don't Love Me,3.83333333333,R&B,2000-03-04,2000-03-18,10,62.0,2.0,1st_week,81.0
219,Joe,Treat Her Like A Lady,4.2,Rock,2000-08-05,2000-08-19,17,63.0,2.0,1st_week,77.0
220,"Blige, Mary J.",Deep Inside,5.43333333333,Rock,1999-11-13,2000-01-22,15,63.0,10.0,1st_week,83.0
221,"Price, Kelly",You Should've Told Me,3.2,Rock,2000-09-23,2000-12-02,20,64.0,10.0,1st_week,91.0
222,Changing Faces,That Other Woman,4.0,Rock,2000-09-30,2000-10-28,11,64.0,4.0,1st_week,80.0
223,"Wright, Chely",It Was,3.85,R&B,2000-03-04,2000-04-15,10,64.0,6.0,1st_week,86.0
224,Limp Bizkit,Rollin',4.06666666667,Rock,2000-11-11,2000-12-09,17,65.0,4.0,1st_week,77.0
225,Hot Boys,I Need A Hot Girl,4.26666666667,Rap,2000-02-19,2000-03-11,13,65.0,3.0,1st_week,77.0
226,Jay-Z,Do It Again (Put Ya Hands Up),3.78333333333,Rap,2000-01-15,2000-01-29,9,65.0,2.0,1st_week,95.0
227,"Adkins, Trace",More,3.08333333333,Country,2000-04-29,2000-06-17,11,65.0,7.0,1st_week,84.0
